,Comment Head,Rating,Review,Name,Date
90,The best gaming phone under 20k and best rear camera and smooth processor,4,"This is the best gaming phone under 20 k.After 25 days of usage i am going to explain the pros and cons....PROS....1.THE Flagship performance in gaming (Pubg) in HDR graphics and and the frame rate in ultra .There is no lag or frame drop i found..Even though i saw the  frame  drop inoneplus 7t ..2.The best rear camera in this segment and the super macro camera  the night is not good..3.The charges 0to 100% in 1hour.37 minutes which is good.4.The best lcd display i have ever seen it competes with my old samsung a6+ amoled display which costs around 25k.5.The ultra fast fingerprint sensor works perfectly.6.The decent performing selfie  camera which is good in this price..7.It has slight heating issue when u play games at outdoor but its not the major problem Because it has liquid cool technology..8.It has the best Media tek helio g90t processor is better than snapdragon 720g and 710g..9. The redmi is giving proper and quick software updates.10.If you are heavy pubg gamer it is the best option but dont spend extra 2k on 8gb ram the 6gb ram is more enough..11.The  phone performs smoothly..CONS...1.Main issue is battery life it comes 3 to 3 and half hour battery backup in heavy gaming but the company claims 7 hours gaming ..2.But if u use instagram ,fb, and youtube it comes around one day battery backup..3.It contains ads and pre installed apps which cant be uninstalled we can do only force stop.4.The headphone jack audio output is not good and mi video app  is waste  use mx player it is so good..5.The in built transparent backcase is waste use other cases for better protection and look.The case changes yellow color in 20 days..",Rohith v., 6 July 2020
91,Best phone,5,"I am using various redmi mobile, comparatively this is one of the best and amazing mobile in redmi brand. Exordinary camera, i am using last 2 years, good one",Jawahar Sesu, 29 May 2022
92,A Pro Mobile Phone,5,"An Amazing 64 MP Macro CameraRedmi Note 8 comes with a massive camera upgrade of 64 MP that can give any premium smartphone in the market a clear run for its money. The shot stabilisation, a 160-degree view supported with an f/2.2 aperture, makes this phone a steal...Boss BatteryRedmi Note 8 has a 4000mAh battery installed in it, making it an all-day powerhouse and operation masterpiece. You won't have to ever worry about carrying a power bank wondering if your phone's going to run out, that won't be the case for Redmi Note 8. Enjoy streaming, playing games, watching videos, and taking as many pictures as you want because the battery just won't run out, till the sun's down...G90T ProcessorIt comes with a very fast and efficient MediaTek Helio G90T processor. This makes the tedious laggy task of multitasking and application switching super EASY and SMOOTH...64-megapixel sensor-based camera...HDR Display...In-built Alexa feature....Negetive Part-Macro is Norma and Ultrawide camera are not good...The quality of 1080p is not up to par...Expensive for an average user...",Arnav dwivedi, 18 November 2021
93,Review ofter 5 months,4,"Redmi Note 8 Pro3 Variants AvailableKey SpecsDisplay6.53-inch (1080x2340)ProcessorMediaTek Helio G90TFront Camera20MPRear Camera64MP + 8MP + 2MP + 2MPRAM6GBStorage64GBBattery Capacity4500mAhOSAndroid 9 PieDisplaySoftwarePerformanceBattery LifeCameraValue for MoneyGoodGreat performanceVersatile camerasPremium build qualityHDR displayBADGets warm under loadSub-par low-light video performance.Redmi Note 8 Pro is a highly sought after smartphone. It has a big-display which measures 6.53-inches and a water drop notch that houses the selfie camera. The display also has support for HDR.  It has a glass back that is made out of Corning Gorilla Glass 5. The Redmi Note 8 pro also has an IR Blaster at the top whihc cna be used to control other IR-based appliances.The Redmi Note 8 Pro is powered by the MediaTek Helio G90T which is a gaming processor. It is very capable and can play most gaming title out there on the play store. There are three variants of the Redmi Note 8 Pro, 6GB RAM with 64GB storage, 6GB RAM with 128GB storage and 8GB RAM with 128GB storage. It uses UFS 2.1 for storage and has a dedicated card slot for storage expansion.Xiaomi ships the Redmi Note 8 Pro with MIUI 10 running on top of Android 9 Pie. It comes preinstalled with a few apps which are capable of generating spammy notifications. The Redmi Note 8 Pro packs in a 4,500mAh battery that helps the device deliver good battery life.Xiaomi has also bundled an 18W charger with the device.The Redmi Note 8 Pro packs a triple camera setup at the back and clicks some good shots in different lighting conditions. We found low-light video performance to be sub-par.BUT ITS NOT THAT MUCH SLEEKERI get this at 12599 in offer",vinay donze, 31 May 2020
94,Good,4,Good,anumod, 9 April 2022
95,Unbelievable product,5,Very  very good,Hemant Narvekar, 23 June 2022
96,No,5,Yes,zuber shaikh, 27 June 2022
97,Was definitely worth it in October 2019,4,"I'm writing this review after using this phone for a year. I bought 8/128 model.  At the time based on specifications, it was the best in it's category. After using it for a year, I assure you I haven't faced a single problem for the first 11 months. Recently, the issue I am facing is of the phone heating up slightly, and taking a bit longer to charge. Despite changing the cable and outlet the problem persists. However, other than this, for the first year it has run flawlessly. Camera quality is of course not as good as OnePlus or iPhone despite the high megapixel, but it will definitely satisfy your day to day needs. The speed and performance have never let me down, no app or game lags or hangs on this phone. Battery life is amazing, as is the battery saver mode. I would say that the speaker volume is slightly on the lower side, and unfortunately there is no way to improve that. However I would guess that most people would use earphones in any case, and the alarm volume is completely fine. Usually the lock button starts to give me a problem in my phone's but that is not the case here. Front camera is also decent. All in all, in October 2019 I felt I made a great decision, maybe today there are better products available for the price, but in case there is a discount on this model, I'd still reccomend it. The camera juts out, so make sure you get a sturdy case so you can comfortably keep the phone face up or face down on any surface. Another budget gem from Xiaomi.",K.M, 29 October 2020
98,Nice product,3,I don't recommend you guys to buy,Rajesh singh, 3 June 2022
99,Best budget phone,4,"Writing this after using for 5 months,Every thing is good.. but I am giving 4 out of 5 because when I got this phone it was not supporting HD streaming over OTT especially for Netflix because after buying this I started using Netflix 😜 and think how it feels that your new phone doesn't support HD streaming 😵Finger print working is good and the way that they placed finger print and is actually nice but I gave 4 out of 5 because it is designed like slightly embossed type,... Whenever I place my mobile on table I put it up side down... Because it makes me feel that camera gets scratches.😣😣Actually I would have given camera 5 out of 5 for camera because my friend is using OnePlus, but it's my Redmi note 8 pro camera is better than his OnePlus camera, but night mode sucks,,... When I take photos in night mode it feels like some special effects added, not much natural colour so I rated 4 out of 5It comes with built in Alexa, but I turned it off because it gave me so much trouble when I turned it on..Here is how it gave me trouble1, we are in tea break at that time I called my friend loudly as mahesha, mahesha, he doesn't looked at me but Alexa opened in my phone🙆2, we were in meating when our maneger was saying we have to spend some 'extra' time(he was pointing word extra) Alexa was opened😭3, I was watching Our planet series in Netflix, when David attenberg saying 'fishes' Alexa opened😣So after all these problems I turned off Alexa and now I am using Google assistant",Shivaprasad d., 4 July 2020
100,Not that great,4,Not that great,Radhika Sen, 1 April 2022
101,"BEST PERFORMANCE, BATTERY AND CAMERA IN BUDGET!",5,"REDMI LOVERS THIS IS THE NEW PRO FOR YOU THATS AMAZING.HEY EVERYONE THIS IS TECHBORED! AND LETS GET STARTED WITH REVIEW OF REDMI NOTE 8 PRO.===================IN THE BOX===================1. Mobile Phone2. USB type C data cable.3. Sim tray ejector pin.4. Transparent flexible TPU case.5. Manuals6. 18W Fast Charging Travel adaptor.==========================PROS OF THE DEVICE==========================1. Compact design. One hand usage is not a problem and this device feels good in hands.2. Display is the best part of this device. You get HDR supporting 6.53 FULL HD display with 2340 x 1080 pixels resolution and outdoors visibility of display under the sunlight is not a problem and in protection you get GORILLA GLASS 5 on both back and front is just great.3. This device sports huge 4500Mah battery which supports 18W Quick charger in the box.4. In the performance it is one of the best processor that it is powered with Helio G90T gaming processor. It also some with liquid cooling technology.5. In memory field this device does not lacks behind, I has huge 6GB RAM and 128GB internal storage and still has dedicated microSD card support up to 512Gigs.6. In rear there are 4 cameras 64MP, ultra-wide lens, macro lens performs very nice. Also in low light this camera is just great. for selfies it has 20MP camera that also is good.7. In sensors it has Rear Fingerprint sensor, Gyro sensor, Geo magnetic sensor and many more are present . So almost every important sensor is available.8. This device is a dual sim and supports DUAL VOLTE that means on both SIM slots VOLTE can be used at same time.9. This is one of the best smartphone at this price that you can buy just now in market.=================================CONS OF THIS DEVICE=================================Till now I was not able to find any issue with this device. There was little issue in heating that I think was fixed via OTA update.SO THIS WAS THE REVIEW. I HOPE YOU LIKED IT. FEEL FREE TO CHECK OUT MY PROFILE FOR MORE REVIEWS.",TECHBORED! Himanshu Chatra, 26 November 2019
102,Overall good,4,Previously inhad re mi nite 7 pro. But i lost it.In that mobile I was able to see my location even in flight mode accurately.  I always used to see my location when I was travelling by flight. But sadly this feature is nit available in this model,Amazon Customer, 6 January 2022
103,OUTPERFORMER FOR THE PRICE-A MUST BUY-A TECH LOVERS REVIEW,5,"A user review after using it for 15days📅 I just love checking out new technology. So used this one thoroughly before its review. Hope you guys get a help buying this beauty(🔔news:OnePlus8 will come approx around April 15th-40k approx price)PRICE-Got it for a deal price of 11.5K 💸💰💲approx with exchange offer 6gb_128gb💻(enough power)CAMERAS-📷Work like a charm (see the clicked pics normal, micro and HDR) Selfies are amazing too. Low light photos are a Lil disappointing, not much.PROCESSOR-🎮Fast like hell. HELIOp90T🚀 is an underrated performer (better than the SD720g in 9pro)BATTERY-🔋Boon for this size 4500 🥇⛽makes it work for more than a day easily. It will easily take you to late night with heavy use too.Tip-never let any phone battery drain to zero%. ☠️Charge it when it's 15% above to full.⚰️HEPTIC FEED-A very smooth feedback🎲 if set to lowOS- the new MIUI 11🎯 is super smooth 🕹️with amazing natural sounds and notifications. Ps: their is a notification Led 🔔on the front cam 📸 best thing to getFORM FACTOR- 📚The phone is on a heavier side due to its battery(but REDMI NOTE series 💪📱😂 are always heavy) and should be handled with both hands, the glass back phones should be cared well for its fragile nature. Chin is negligible for the price(buy a green or blue version for a seamless experienceHDR SUPPORT-👁️for the videos in yt and other platforms for the price is amazingALEXA-inbuilt is one of the mind blowing features of 8pro missing in all other phones. 🌈☔❄️🌍📽️📌📑🤹 use it and be smart if notWEIGHT-💪 its on the heavier side, I like light small phones(this one is a gift) 😂😂📱not a deal breakerVERDICT - If you don't want to spend(waste) your money on expensive phones and buy some needful stuff for you with the money you save.. You should absolutely go for this beast and beauty. Redmi is doing justice to its consumer with such competitive phones.. This phone easily competes with the price range of 20K phones. All in all a must buy for under 15K buyers, don't go anywhere else. Note 9pro is a gimmic, with nothing much inside. Think before you buy.",Shukant Sharma, 14 March 2020
104,Good phone in this price range,3,"Good battery backup, look stylish, screen is good,",NITISH KUMAR SINGH, 29 May 2022
105,Amazing phone,5,,Amazon Customer, 19 June 2022
106,Good,5,Good,JATHiN Gurrampati, 17 June 2022
107,It's been 2 years.. still it's lightening fast,5,Completely happy with this smartphone... My best purchased ever in Android smartphone.,Placeholder, 3 June 2022
108,Nice...,4,"Sometimes it doesn't read fingerprint  , battery life is superb and camera quality is neither so good nor bad.......it works nicely ..",anuj kumar, 7 February 2022
109,Just go Through the battery life once before buying,4,Fingerprint reader is very quickBattery was good during first year but now it's draining a bit faster.Camera quality is goodAll over performance is goodThere's no lagging or slowing down of system.,Naveed, 20 January 2022
110,Nice product,4,Awesome,Balan Master, 22 March 2022
111,Good product,5,Nothing,SAHADEVAN M, 9 June 2022
112,Good,4,Nice phone in this range,Kavita sarawgi, 9 March 2022
113,An All-Rounder,4,"I have been using this phone for around 2 months now and I'm quite happy with the performance of the phone.The fingerprint scanner is exceptionally fast and has an astute haptic feedback. I was particularly happy with the camera quality. Although the 64MP option is not really useful (as it just eats up all of the disc space), it is really cool to have that feature and the photos taken in the 64MP feature turned on is sharp and crisp and encorporate a lot more details.The Helio G90T processor is really fast and responsive and works pretty well for gaming and for ordinary day-to-day tasks as well, although it being a 13nm process doesn't really help with the battery life. It lasted me hardly a day and I can't quite complain, considering the fact that I use the phone a lot and do a lot of heavy gaming like PUBG Mobile (the game runs on high graphic settings by default) but if you are a normal user who uses the phone for day-to-day tasks, it would probably last you a day and a half or more. The 18W fast charger provided with the phone charges it pretty quickly considering the 4500 mah battery of the Redmi Note 8 Pro.Although it has an IPS LCD screen, it's one of the best screens so far with as deep blacks as an AMOLED screen.All in all, it's an all-rounder of a phone and if you are looking for one that is in the sub-15000 Rs range, then this is definitely a phone that you should check out.",Sajan Daniel, 9 March 2020
114,Good,4,Very good,satheshkumar, 12 March 2022
115,Good smart phone,5,Value for money,Chandan, 7 June 2022
116,Super,5,Mmmmmmmmm super,Amazon Customer, 7 June 2022
117,good mobile,4,I was buyed these mobile for one of my friend and he is using it from 2 years and he is happy with the performance of the device and battery life also super and it comes with the 18w fast charging which is not so fast but still quite good than 10w chargers,ajay prajapati, 2 December 2021
118,Built for gamers. .Review after 3 weeks..,4,"Well i am using this phone for a couple of weeks and i found that battery is draining faster, hope will be fixed with an update. For playing PUBG this phone is remarkable not facing any lags, well i play with smooth/Extreme graphics settings. This is built for gamers and we cant find a phone under 20k price range for best gaming, G90T is built for gaming. No issues in day to day usage as i installed a lot of Apps and still running smoothly. I went for a 6/64 variant as i have a memory card of 128 gb. Thanks to that extra slot. Display is quite good in this price range comparing with realme 6, good brightness level and HDR10 supported. Build quality is premium, nice and handly, looks premium, just dissappointed with fingerprint sensor built parallel to camera. Ram management is quite good. Go for it guys if you are an insane gamer and looking a phone under 20k price range. Little bit heating 🔥 issue is there but not crossed 41 in room temperature while playing PUBG in extreme graphics which i prefer, but we wont find any lag.charging time is about 2 hours from 15 to 100 percent.and 100 to 30 percent for 5 to 6 games of pubg thats approx 2 hrs or more. .speaker quality is normal. Give likes if u find this usefull. Cheers 🥂 👍",Nandu, 17 June 2020
119,I like Alexa,5,"Very confertabl good experience, this mobile phone I am using almost 2 years",minhaj ansari, 12 May 2022
120,wondeful phone for all everybody,4,I am using this phone for last one month .Let me put my observations ( 128 GB 8GB RAM version)1. Great camera -- The more i am using more i am learning. I have SLR but these photos are really good.2. Attending per day 6 hrs of  online classes with video recording .  Never failed . Also i am using multi tasking mode.3. The response is awesome. I can perform online video processing when doing other work. Brilliant.4. The battery is a little disappointing. I had to do a quick charge twice.5. It has to overheat protection. Whenever my mobile gets overheated then redmi switches some of the unnecessary options6.  Ia have tons of pplication related to educatioonal music and video processing also many testing toll. Actually i replaced my damanged laptop with this phone . I cannot thak redmi enough for the powerful processing with zero lag . One advice. There is one PUBG turbo mode. If you enable that during your video processing it boosts up performance significantly.I got stuck in lockdown in a remote place. But this mobile saved me from all the hassles. from remote access to multiple class and video processing its a powerhouseI would have given 5 star but BATTERY! !!!!Recommended highly this phone,mainak ghoshhajra, 23 June 2020
121,Nice phone,5,Good mobile phone .Using for Last 2 years.,Arun Gupta, 15 May 2022
122,"Battery,camera and gaming experience is just awesome 👍",4,Seperate headphone slot and metallic body would have be excellent experience.,Abhishek Singh, 5 February 2022
123,GREAT,4,"¹°CAMERA was the main focus of the particular smartphone. It hosts a 64 MP MAIN CAMERA with 3 other rear cameras and a 20 MP front shooter. It does a phenomenal job while clicking photos  (I have added some sample shots. You will notice that I removed the watermark option in some of the photos). Although the Night Mode sucks , one of the worst that's why I reduced 1 star. But in daylight it does a fabulous job²°DISPLAY was an issue . I believe that if it was an LED screen it would have been  so much better. But the LCD panel does a fairly good job.Thanks to the large display.³°PROCESSOR should be no problem for you people . I don't play games so I don't know about it's gaming capabilities. Everyday task works smoothly .👍⁴°BATTERY is fairly large and it lasts a day for me . Again I would say that I don't play games so I don't know about the battery capabilities under heavy usages. The 18 W charger does a good job but I wish it was a 27 W or the new 33 W charger.⁵° OTHER HIGHLIGHTS---  The in hand feel is really great , I don't use the case so it's not that heavy . But if u use a case it is really heavy to use while laying down and when using single handedly. Speaker is not that loud.YEAH THAT'S ALL.HOPE I WAS ABLE TO HELP YOU.",Joy, 3 January 2020
124,Good product,4,"I'm using it since last 2.5 years and theobile is still looks like a new phone, even the quality and features are also too good.",Vishal Prajapati, 8 January 2022
125,superfast gaming/multitasking device,4,"PROS:*massive screen with a teardrop notch- doesn't hinder with content viewing/gaming*HDR 1080p display. (Supports HDR content which looks awesome)*amazing set of cameras.*camera to api out of the box*gaming mediatek processor is a blaze. Was a snapdragon fanboy till this device arrived.*USB type c for charging and data transfer.*18w fast charging. which is definitely a speedy charge for those who haven't experienced it before.*Fingerprint reader is blazing fast, so is face unlock.CONS:*low light camera performance not that great (Here, camera to api helps)*18w fast charging though is good, they could have provided a faster charger.*speakers don't have punch*face unlock is not as secure as a 3d scanning present in other devices, but its acceptable.*updates seems to be late.My view towards this product is that it is a bang for your buck. Handles games like butter and has no heating issues till now. Every phone heats up so does this but not anything alarming. 3 hours of pubg in hdr ultra is a breeze. The cameras are awesome and provides a huge variety of lenses for your every needs. Screen is awesome with gorilla glass 5 protection on front and back, havent used a tempered glass yet and has no scratches till now.Awesome product, I recommend this product to all.",Sayan Patel, 23 May 2020
126,Review after 2 years,5,this phone is really good to use. After two years also working completely fine no major problems did not come at the time of the update there may be little bit glitches but after the security patch update it working fine but nowadays you can buy a better phone at this rate,praveen kumar, 15 March 2022
127,Good budget phone with ok camera and poor speakers,4,"Great budget phone however has its own pros and cons. The processor is good and the phone feels smooth in everyday use. The daily tasks are a done in a breeze. Games run smooth and the performance is up to par. Battery life is good enough and phone also comes with a fast charger.Additional plus for this phone include a notification light, a headphone jack, amazing looks especially the Gamma green looks fantastic. One more plus is the dedicated SD card slot.On the bad side of things, the main selling point the camera, could have really been way better. You need steady hands for most of the shots and the pictures aren't really that sharp. Most of them are grainy if you zoom in and the video performance is poor. For a camera concentrated phone, this is unacceptable.Additionally, the sound output is really really weak. Headphone out is really good but the phone speaker is really not that loud enough and it's hard to hear at even at the max volume. Call audio is also sometimes poor and the speaker is not positioned well for answering calls via phone. Also missing is the amoled technology for the screen that gives away the otherwise great display unit. The blacks are not that great when you are in dark and you can see the difference clearly. For the price while this is still a great pick, the camera could have been really better even if they had to compromise on something else for the price.",Arvind R, 6 December 2019
128,Best in price,5,Masterpiece,Aman Gupta, 24 May 2022
129,Recommended Smartphone under ₹16000 Even in Aug 2020,5,"This phone is all rounder in terms of Everything.If you are thinking to buy a phone at ₹16k, I would recommend this phone.I bought my Redmi note 8 pro around mid July and was delivered within 4 days.Here are Some Pros of this Phone you should know if you are going to buy it in 2020:✅ Display is buttery smooth and looks good for a mid range smartphone.✅ This phone has a gaming processor, So It is made for performance.✅ Go for 128gb variant, you will get a lag free experience.✅ This phone has a back panel of Flagship phones which looks absolutely stunning in comparison to other phones. Also I like phones with center camera setup. It's my personal opinion many of you may feel the same.✅ After updating to the latest Android 10 miui version, My experience has been super good.✅ I don't use the camera very often but I takes some really good looking shots. Also Slo-mo videos are pretty awesome.✅ After 7-8 hrs of medium usage with wifi connected almost everytime, It lasted a whole day.✅ Also it supports quick charge, so 60 mins charge gives me 90% battery.Here are some cons about this phone:▶️ It has some heating issue, gets pretty warm in after a reboot and heavy gaming sessions.▶️ If you are okay with the dot notch, then it looks amazing.If you looking for a decent smartphone in the ₹15k-18k range, which has these specs:Performance: 4.5/5Display: 4/5Gaming: 4.5/5Camera: 4/5Battery:4/5Then you should definitely think about this one.",G, 17 August 2020
130,It is amazing,5,Nothing... It is seriously amazing,PritiDisha Kanungo, 20 May 2022
131,Perfect Package in A Budget,5,"For a 4050 mAh battery, this phone works throughout the day and could continue for more than 24 hours. I am a heavy user and stay out of the house for longer hours, so I need a heavy battery phone and this works great for me. The camera (both front and back) is really amazing and I'd say it is better than an iPhone. It's really smooth, especially when I played PUBG initially, I was like, ""Wow! This is super smooth."" I love gaming and sometimes I play for hours. And this was up to the mark although it got heated up a bit around the camera, but that's where the processor is I guess, so it's justified. That's not a big issue though because it cools down fast as well. The storage is really nice, it works perfect. There were some apps I didn't need like Opera Mini, so I uninstalled it. I love androids because they come in with great themes, and MI themes are wonderful. I like playing with the themes and fonts and all, and this is really nice. I love the MIUI 11 update. Plus in this phone, you can use it in a full screen mode that allows you to remove the footer which has the home button, back button and the recents tray. That is similar to the iOS themes. It gets charged really quick. The original charger that comes with the phone in the box is great. Obviously, there is no earplugs or earphones with the phone. Instead, you get a nice soft cover with this. I ordered a ""Shadow Black"" phone and it came in with a translucent black back cover. I don't know if they provide same colour covers or transparent ones with the others.",Amazon Customer, 12 June 2020
132,My experience with Note 8 Pro,4,"Being using for a week. Below is my experience with the phone.Pros*Design*Processor. G90T is great. No much heating as rumoured.*Ram and storage for the price*Display. Though not Amuled but they have tweaked it well with HDR. So no fuzz about display quality.*Fingerprint and face unlock.Both are very quick.*Camera, though not a great user of Camera but when i compared with my old Oneplus 5t it is crisp and details are good. You get quad cam with 64M sensor from Samsung. Bit of tweak has to be done to make it more better through software update.But overall better than others in that price segment.Cons: This is not exactly an issue but i would like to give a heads-up* Miui OS, this runs on top of Android. But if you are looking for stock like feel. You will be disappointed. You can do workaround like i installed Poco launcher which replicated similar to stock feel. You have to also get rid of Ads.*Weight of the phone. I felt lill bulky with 200gms.*L1 certification. Cannot watch Netflix or Prime with HD. You have to be satisfied with standard definition. Xaiomi claims to fix this in Q(10) update.Finally it all boils down to price. If any other phone beats this with better features go for it. But for now i guess this is the better option available.  What you pay is what you get....",Kiran K., 25 January 2020
133,Its ok for money,3,Nice to use parents,Jishnu TR, 12 May 2022
134,Not a deal breaker set,3,OneStopShop – Peer Sheet Review:Directions: The rating is mentioned for the product for precise overview5 – The product truly meets beyond our expectation in (software and hardware) or (hardware and seller response).4 – The product meets beyond our expectations in hardware but the software needs improvement.3 – The product quality is just ok and get’s the basic work done.2 – The product quality below mentioned standards and hurdles to get the basic work done.1 – Low product quality and not recommended for the work.Performance3Storage4Design4Camera Quality3Video Quality3Display Resolution2Battery Backup4User Interface3Calling Experience4Speaker Quality3Earpiece Quality4Overall Experience3OneStopShop Conclusion• The video experience is just ok needs to work a lot in the software part.• User Interface is a little difficult to get upon because the absence of App Drawer and Search Bar makes difficult to search for apps.• Sharpness is increased too much which results in strain on eyes and end output also gets affected.• 128GB of storage gets the work done as cloud storage takes care of the rest of the content.• Security Patches are thrown so aggressively without quality control to meet the competition that sometimes after a security patch update a lot of glitches are observed which ruins the work culture.• All-day battery backup that’s a plus.• The calling experience is above average.• The focus of the camera needs to be adjusted and optimized as the focus is lost during shooting videos.• In-display fingerprint sensor is slow and messy after a few days of use.• Customer Service is below average as the response rate is too slow• The phone is ok for day to day use but not a deal-breaker product for sure.,Abhishek Gupta, 13 January 2020
135,Balanced Deal! Go for it.,4,"Classy product.pros- 1- Great battery backup, expect 1-1.5days of full battery backup with moderate usage(7-8hrs screen on time )2- Snappy and fast ( processor is well optimized with the softwere)3- Super fast finger print sensor4- adequately loud speaker with great quality via headphone jack.5- Great gaming performance ( beast )6- Superb camera, for better results use pro mode / install Gcam.7- Alexa is love.8- halo white colour & design is great.9- android 10 update.10- many features of MIUI ( if you want app drawer &  pixel like experience use Poco launcher along with pixel icon pack)Cons-1- heavy in hand feel but you will used to it .2- placement of speaker is not good, you will cover it when gaming & single hand usage is not recommended.3- Display is decent but not great , daylight screen viewing could have been better.4- some banned apps are still present, but they said they will fix those soon.Overall , it is a balance package. you will not regret if you buy it.Go for it . it is better than redmi note 9 pro.",Shuvam Kumar Sinha, 8 August 2020
136,MY REVIEW FOR THE REDMI NOTE 8 PRO,5,"I've been using this device since 8 days (6GB+128GB Green), and I've got the actual performance of this phone. So, this is my complete review of the phone:PERFORMANCE: I installed PUBG Mobile in it, and by default, it was set to high graphics, as recommended. I ran the game in HDR + Ultra, and the game ran as smooth as butter. On Antutu, this phone scored 284973, which is actually the score of iPhone X. I was literally shocked, when I saw this score.CAMERA: The groundbreaking 64MP camera did an unbelievably good work. It can shoot videos upto 1080p 60fps and 4K 30 fps, and slow motion videos at 720p 960fps. The 20MP selfie camera did its job pretty well, taking some natural pictures in both indoor and outdoor conditions.LOOKS: The phone looks as beautiful as hell! The glass back just magnifies its beauty to an another level. The Phone is also protected by Gorilla Glass 5, on both the front and the back.BATTERY: The phone gives the battery life of flagships. While fully charged, you can watch YouTube for 10 hours at 10% brightness. Also, the 18W fast charger provided in the box charges it from 0-90 within 1 hour 30 mins, regardless of having a 4500 mAh battery.OTHER FEATURES: The MIUI 10 with Android 9.0 Pie provided out-of-the-box is well optimised for this device. It comes with a system-wide dark mode, that increase its battery life, by reducing battery usage. The speakers are actually very loud. The P2i coating protects the phone against water splashes. It also has a dedicated microSD Card slot. The IR blaster present in it makes it extremely good. Also, Xiaomi has also announced that they would be providing Android 10 (MIUI 11) by December 25 via OTA.Encompassing all this features, Xiaomi Redmi Note 8 Pro is the best Mid-Ranger in this price segment. I would recommend you to checkout this phone before buying any other device under 15-18K",Arkaprabho Choudhury, 28 November 2019
137,Just wow,4,Nice,AMIYA KUMAR NAYAK, 21 February 2022
138,I FINALLY GOT MY BABY!!,5,"I know, it's dramatic but I LOVE gadgets, I was saving for it for SO LONG!! I worked in low salary job with the only aim to buy this guy one day!! I was confused between Realme and this one but let me tell you what I found during my endless research, ""Redmi Offers you what Realme is offering in less price.""Maybe it's because the launch delay and the competition between the two. I had Redmi Note 3 before this and it's perfectly fine except of battery drain out and lack of storage. I was thinking of trying Realme but nope! Same thing in less price who doesn't want that?My focus while looking for a phone was a better camera and TONS of storage.SO,Things That I Liked:)It has amazing camera!Dedicated SD card slot with dual sim!THE COLOUR!!! aka Gama Green!The processor and all that stuff that I don't understand but experts say is great!Things that I don't like:(The cameras and fingerprinting sensors are bulking OUT! that makes my ocd brain worry  A LOT for the lens! the camera is important because ai love nature's photography.Tooooo many in built mi related apps that are just waste of storage and are not that useful! I would use mi store if it had everything that a Playstore has but it doesn't, so it's useless.These things are livable but I hope they consider improving it to make the best!Thanks Redmi for making affordable phones.EDIT AFTER 10 MONTHS! The hotspot does not have a block option. I STILL LOVE IT! THE BEST IS CAMERA QUALITY!",Lostinmind.zz, 11 June 2020
139,Camera,4,Camera is not working properly main camera is off,Nischal yadav, 31 January 2022
140,Nice product,4,Good product,Manju, 22 February 2022
141,Good selection for me,5,Good,Jayasankar, 21 May 2022
142,Good,5,Good,HArdik S Dhorajiya, 16 May 2022
143,Not a bad phone at this price point.,3,"It's a good mobile at Rs. 13999. After using this phone for 40 days, I am writing this review. Just think twice before buying this phone. There are better processors at this price and numerous options are available in the market now.Pros:First of all the build quality of redmi note 8 pro is awesome. It's glass body is wonderful. I just loved it.Finger print reader is blazing fast.Face unlock also working well.Touch sensitive is also very good.Ram management is good.4500 mah Battery comes for a day for an average user.Gaming is also good.Display is adequate. Being an IPS LCD display it's fine.Cons:No widevine l1 certification, which means we cannot watch Amazon prime video and Netflix at full hd resolution.It takes 2hours for full charge(0 to 100%) and Phone gets heating slightly while charging.Camera sensor is not upto the mark. A 13mp camera of other phone is giving clear images than 64mp camera of redmi note 8 pro. Maybe be the issues would be resolved in future updates.I am irritated with hotspot of redmi note 8 pro. The hotspot connecting to other phones but not connecting to PC (the PC condition is good and other phones are connecting). Its horrible if we get a half working hotspot with a phone of Rs. 13999.It also lacking WPS entry option for wifi.Speaker out put incase of audio and video is good. But incase of ringtone for incoming call, we have to keep full volume other wise we cannot hear the ring tone.There are number of bugs in this phone and they might be resolved after updates. Till then we have to wait.Except the cons above, everything is fine with redmi note 8 pro.",Harish, 4 March 2020
144,Ok,4,Ok,Placeholder, 19 February 2022
145,Very good...,5,Still I'm using it,NOOR MOHAMAD, 12 May 2022
146,The BEST phone ever!!!,5,"Redmi Note 8 Pro is just amazing and undisputed device in midrange.I'm writing review after using it for 6 months.Camera : Perfect camera 10/10 even if it is NOT using sony sensor, PRO mode in Night is also great.Display : 10/10 FHD+ IPS & HDR10 support makes the display unique at this price range. (would have been more happy if it is Amoled)Speaker : 9/10 Its already Loud and crisp clear but little bit more loudness would have been great.Build Quality : Gorilla glass 5 on both back & front so no worries, but still its a glass back so you need a good armour cover like SPIGEN to protect the Camera bump as well as frequent drops.Storage : UFS 2.1 is fast enough to transfer your data from mobile to pc and also faster data processing.Mic : Its clear and also cancel outs the noise and distortion. i.e. it has a secondary mic!!Battery : Initially on miui 10 it was great but now its giving somewhat less output but Still no need to worry as it lasts easily for the even playing some heavy games for 2-3 hrs.If you are a normal user it will last about 2 days depending on ur usage.Processor : Mediatek G90T is just powerful as SD730G even better i can say no lags at all.And this is it!!!Its still the best buy in midrange segment!!!",Saurabh, 20 October 2020
